serial number,author,title
2,Acker Kathy,Blood And Guts In High School
3,Acker Kathy,Empire Of The Senseless
4,Acker Kathy,Great Expectations
5,Acker Kathy and McKenzie Wark,Im Very Intro You: Correspondence 1965-1996
6,Acker Kathy,In Memoriam To Identity
7,Acker Kathy,Literal Madness: Three Novels
8,Acker Kathy,My Mother: Demonology
9,Acker Kathy,Pussy King Of The Pirates
10,Acosta Oscar Zeta,Revolt Of The Cockroach People
11,Aes-Nihil Jon,William S. Burroughs In The Dreamachine
12,Allen Donald,Poetics of the New American Poetry
13,Allione Constanzo,Fried Shoes Cooked Diamond - Beats at Naropa
14,Allred Randy,Beat Angel: A Film About The Spirit Of Jack Kerouac
15,Almon Bert,The Imagination Of Gary Snyder
16,Amburn Ellis,Subterranean Kerouac: Hidden Life of Jack Kerouac
17,Amram David,Offbeat: Collaborating With Kerouac
18,Amram David (David Amram Quartet),Pull My Daisy and Other Jazz Classics
19,Amram David,Upbeat: Nine Lives Of A Musical Cat
20,Amram David,Vibrations: The Adventures and Musical Times of David Amram
21,Anderson Cliff,Free Beer: Kicks & Truth With Jack Kerouac & Other Strong Drinks
22,Anstee Rod comp,Jack Kerouac: The Bootleg Era: An Annotated List
23,Antonelli John,Jack Kerouac: King Of The Beats
24,Antonelli John,Kerouac
25,Arnold Delmar Wilson Jr.,All In The Family: Gary Snyders Poetics Of Reinhabitation
26,Aronson Jerry,Life and Times of Allen Ginsberg
27,Aronson Marc,Art Attack: A Short Cultural History of the Avant-Garde
28,Arrocha Victor M.,The Beat Generation And Its Influence In The United States
29,Ash Mel,Beat Spirit: The Way of the Beat Writers as a Living Experience
30,Atkinson Jay,Paradise Road: Jack Kerouacs Lost Highway And My Search For America
31,Audio Book & Music Company,Beat Poetry
32,Àvila Javier,Henry Chinaskis Futile Road From Self-Protection To Self-Destruction In The Works Of Charles Bukowski
33,Baca Elmo,Mabels Santa Fe and Taos: Bohemian Legends (1900-1950)
34,Bair Deidre,Anaïs Nin: A Biography
35,Baker Deborah,Blue Hand : Beats in India
36,Baker Phil,William S. Burroughs
37,Bald Wambly,On The Left Bank: 1929-1933
38,Baldick Robert,First Bohemian: Life of Henry Murger
39,Ball Gordon,East Hill Farm: Seasons With Allen Ginsberg
40,Balzac Honore,A Prince Of Bohemia and Other Stories
41,Baraka Amiri,Autobiography of Leroi Jones
42,Baraka Amiri,Digging: The Afro-American Soul Of American Classical Music
43,Baraka Amiri,Eulogies
44,Baraka Amiriet al,Music: Reflections On Jazz And Blues
45,Baraka Amiri,SOS: Poems 1961-2013
46,Baraka Amiri,Transbluesency: Selected Poems of Amiri Baraka/LeRoi Jones (1961-1995)
47,Barille Elisabeth,Anais Nin: Naked Under The Mask
48,Bartlett Karen Joy,Jewels In The Net: The American Buddhist Poetics Of Gary Snyder
49,Bartlett Lee,William Everson: The Life Of Brother Antoninus
50,Bartlett Lee editor,Beats: Essays In Criticism
51,Baskin Alex,John Reed: The Early Years in Greenwich Village
52,Baughan Michael Gray,Charles Bukowski
53,Beard Rick editors,Greenwich Village: Culture and Counterculture
54,Beatdom Books,Beatdom
55,Beatty Maria,Gang Of Souls: A Generation Of Beat Poets
56,Becker George J. ed & trans,Paris and the Arts 1851-1896: From the Goncourt Journal
57,Behnke Alison M.,Jack Kerouac
58,Bennett John editor,Ragged Lion: A Tribute To Jack Micheline
59,Benstock Shari,Women Of The Left Bank: Paris 1900-1940
60,Berrigan Ted,On the Level Everyday: Selected Talks on Poetry and the Art of Living
61,Beucler Andre,Last of the Bohemians: Twenty Years with Leon-Paul Fargue
62,Beveridge Thomas Gordon,Jack Kerouac And The Liberal Tradition
63,Bickford L.H.,Phyllis in Bohemia
64,Bierowski Thomas R.,Kerouac In Ecstacy: Shamanic Expression In The Writings
65,Billy Andre,The Goncourt Brothers
66,Bisbort Alan,Beatniks: A Guide To An American Subculture
67,Black Joel Elan,Arrested For Selling Poetry! Or You Wouldnt Want Your Children Reading This: The Historical Significance Of The Howl Obscenity Trial
68,Blank A.R.,My Darling Killer: How Lucien Car Introduced Jack Kerouac Allen Ginsberg & William Burroughs Killed David Kammerer & Shaped The Beat Generation
69,Bockris Victor,With William Burroughs: A Report from the Bunker
70,Bodenheim Maxwell,Georgie May
71,Bodenheim Maxwell,Introducing Irony
72,Bodenheim Maxwell,My Life and Loves in Greenwich Village
73,Bodenheim Maxwell,My Life and Loves in Greenwich Village
74,Bodenheim Maxwell,New York Madness
75,Bodenheim Maxwell,Naked on Roller Skates
76,Bodenheim Maxwell,Replenishing Jessica
77,Bodenheim Maxwell,Sardonic Arm
78,Bogosian Eric,Sex Drugs Rock & Roll
79,Bohemian Club,Certificate of Incorporation Constitution By-Laws and Rules Officers Committees and Members
80,Bohemian Club,Chronicle of Our Years: Commemorating the Seventy-fifth Anniversary of the found of the Bohemian Club of San Francisco
81,Bostick Daisy,Carmel Today And Yesterday
82,Bowles Jane,My Sisters Hand In Mine
83,Bowles Jane,Two Serious Ladies
84,Bowles Paul,Collected Stories & Later Writings
85,Bowles Paul,Days: Tangier Journal 1987-1989
86,Bowles Payl,Desultory Correspodence: An Interview With Paul Bowles On Gerturde Stein
87,Bowles Paul,A Hundred Camels in the Courtyard
88,Bowles Paul,In Touch: The Letters Of Paul Bowles
89,Bowles Paul,Let It Come Down
90,Bowles Paul,Let It Come Down: The Life Of Paul Bowles
91,Bowles Paul,Midnight Mass and Other Stories
92,Bowles Paul,Paul Bowles: The Cage Door Is Always Open
93,Bowles Paul,Paul Bowles Music
94,Bowles Paul,Sheltering Sky
95,Bowles Paul,Stories Of Paul Bowles
96,Bowles Paul,Too Far From Home: Selected Writings Of Paul Bowles
97,Bowles Paul,Travels: Collected Writings 1950-1983
98,Bowles Paul,Without Stopping: An Autobiography
99,Bowles Paul,Yallah
100,Brassaï,Henry Miller Happy Rock
101,Brassaï,Henry Miller: The Paris Years
102,Brassaï,Paris By Night
103,Brautigan Richard,Abortion: An Historial Romance
104,Brautigan Richard,Confederate General From Big Sur Dreaming Of Babylon Hawkline Monster
105,Brautigan Richard,Edna Webster Collection of Undiscovered Writings
106,Brautigan Richard,Hawkline Monster: A Gothic Western
107,Brautigan Richard,June 30th June 30th
108,Brautigan Richard,Loading Mercury with a Pitchfork
109,Brautigan Richard,Rommel Drives On Deep Into Egypt
110,Brautigan Richard,Sombrero Fallout: A Japanese Novel
111,Brautigan Richard,Trout Fishing in America
112,Brautigan Richard,Unfortunate Woman
113,Brewer Gay,Charles Bukowski
114,Broderick Siobhan,Public Intellectual Work Of Allen Ginsberg
115,Brooks David,Bobos in Paradise: The New Upper Class and How They Got There
116,Brossard Chandler,As The Wolf Howls At My Door
117,Brossard Chandler,Did Christ Make Love?
118,Brossard Chandler,Double View
119,Brossard Chandler,Wake Up. Were Almost There
120,Brossard Chandler,Who Walk in Darkness
121,Brossard Chandler,Who Walk in Darkness
122,Brotchie Alastair,Alfred Jarry: A Pataphysical Life
123,Bruce Lenny,How to Talk Dirty and Influence People
124,Brundage Slim,From Bughouse Square To The Beat Generation
125,Bruno Guido,Brunos Weekly
126,Bruno Guido,Brunos Weekly Volume 1
127,Bruno Guido,Brunos Weekly Volume 2
128,Bruno Guido,Brunos Weekly Volume 3
129,Bruno Guido,Fragments of Greenwich Village
130,Bruno Guido,Frank Harris: In Memorium Fragments From His New York Days
131,Bruno Guido,Greenwich Village
132,Bruno Guido,Sacred Band: A Litany Of Ingratitude
133,Buckley William F. Jr. host,Firing Line: The Hippies
134,Bukowski Charles,Absence Of The Hero: Uncollected Stories And Essays Volume 2: 1946-1992
135,Bukowski Charles,Beerspit Night and Cursing : The Correspondence of Charles Bukowski and Sheri Martinelli 1960-1967
136,Bukowski Charles,Betting on the Muse: Poems & Stories
137,Bukowski Charles,Between the earthquake the volcano and the leopard
138,Bukowski Charles,Bone Palace Ballet: New Poems
139,Bukowski Charles,Bring Me Your Love
140,Bukowski Charles,Burning In Water Drowning In Flame
141,Bukowski Charles,Captain is Out to Lunch and The Sailors Have Taken Over the Ship
142,Bukowski Charles,Charles Bukowski Uncensored
143,Bukowski Charles,Come On In!: New Poems
144,Bukowski Charles,Confession of a Coward
145,Bukowski Charles,Continual Condition: Poems
146,Bukowski Charles,Dangling in the Tournefortia
147,Bukowski Charles,Days Run Away Like Wild Horses Over the Hills
148,Bukowski Charles,Essential Bukowski: Poetry
149,Bukowski Charles,Factotum
150,Bukowski Charles,Factotum (French 
151,Bukowski Charles,Flash of Lightning Behind the Mountain
152,Bukowski Charles,Ham on Rye
153,Bukowski Charles,Hollywood
154,Bukowski Charles,Hostage
155,Bukowski Charles,Hot Water Music
156,Bukowski Charles,In The Morning And At Night And In Between
157,Bukowski Charles,Last Generation
158,Bukowski Charles,Last Night of the Earth Poems
159,Bukowski Charles,The Last Straw: Charles Bukowski Live
160,Bukowski Charles,Laughing Heart
161,Bukowski Charles,Living on Luck: Selected Letters: 1960s - 1970s Volume 2
162,Bukowski Charles,Love is a Dog from Hell
163,Bukowski Charles,Love Poem
164,Bukowski Charles,Love Poem To Marina
165,Bukowski Charles,Luck
166,Bukowski Charles,Mockingbird Wish Me Luck
167,Bukowski Charles,Most Beautiful Woman in Town & Other Stories
168,Bukowski Charles,The Movie: Barfly
169,Bukowski Charles,Movie Critics
170,Bukowski Charles,New Poems : Book Three
171,Bukowski Charles,New Poems: Book Two
172,Bukowski Charles,New War
